Title,Address,Halal,Muslim Owned,Food Court,Mixed Food Court,Type of Food,Rating
Raimah Eating House,"56 Jalan Kembangan, Singapore 419120",No,Yes,Yes,No,"Malay, Western, Beverages, Chicken, Seafood",4.2/5.0 (706 reviews)
Afghanistan Family Restaurant,"201e Tampines Street 23, Singapore 527201 #01-56",No,Yes,Yes,No,"Malay, Chicken, Seafood, Beverages, Vegetarian",4.1/5.0 (1699 reviews)
Ahmad Spring Satay @ East Coast Lagoon Food Village,"1220 East Coast Parkway,  Singapore 468960 #01-58",No,Yes,Yes,No,"Chicken, Satay, BBQ Chicken",3.2/5.0 (18 reviews)
Mak's Place,"401 Changi Rd, Singapore 419847",No,Yes,Yes,No,"Western, Chicken, Seafood, Vegetarian, Chinese",4.1/5.0 (809 reviews)
The Bread Gang,"235 Jurong East Street 21, Aiman Cafe, Singapore 600235",No,Yes,Yes,No,"Western, Chicken",3.7/5.0 (59 reviews)
Western stall @ Raimah Eating House,"56 Jalan Kembangan, Seafood Western, Singapore 419120",No,Yes,Yes,No,"Western, Beverages, Vegetarian, Chicken, Seafood, Meat, Italian",4.2/5.0 (706 reviews)
Lawa Bintang @ Tampines Street 93,"9008 Tampines Street 93, Singapore 528843",No,Yes,Yes,No,"Chicken, Malay, Seafood, Nasi Lemak Lobster",4.0/5.0 (436 reviews)
Boon Lay Power Nasi Lemak @ Causeway Point,"1 Woodlands Square, Causeway Point Singapore 738099 #B1-K15",No,Yes,Yes,No,"Asian, Beverages, Chicken, Seafood, Malay, Nasi Lemak",2.8/5.0 (49 reviews)
Boon Lay Power Nasi Lemak @ Novena Square 2,"10 Sinaran Drive, Singapore 307506 #B1-125",No,Yes,Yes,No,"Asian, Beverages, Chicken, Seafood, Malay, Nasi Lemak",3.0/5.0 (59 reviews)
Boon Lay Power Nasi Lemak @ Boon Lay,"Blk 221a/b, Boon Lay Place, Singapore 641221 #01-106",No,Yes,Yes,No,"Asian, Beverages, Chicken, Seafood, Malay, Nasi Lemak",3.9/5.0 (3759 reviews)
Pak Mandor Nasi Lemak,"645 Yishun Street 61, Singapore 760645  #01-320",No,Yes,Yes,No,"Chicken, Beverages, Asian, Malay, Nasi Lemak",4.3/5.0 (357 reviews)
Asli Village,"1 Pasir Ris Close, Market Square @Downtown East, E! Avenue Singapore 519599 #02-333",No,Yes,Yes,No,"Asian, Beverages, Dessert, Western, Seafood, Chicken",4.0/5.0 (151 reviews)
Warong Wak Nakem @ Marine Parade Food Centre,"Blk 50a Marine Terrace, Singapore 441050 #01-311",No,Yes,Yes,No,"Malay, Chicken, Seafood, Vegetarian, Nasi Nakem, Nasi Sambal Goreng",4.2/5.0 (15 reviews)
Fatty Bom Bom Sizzle @ 167 Woodlands St 11,"167 Woodlands St 11, St11 Coffee House Singapore 730167",Yes,No,No,Yes,"Western, American, Beverages, Dessert, Chicken, Seafood, Italian, Beef, Lamb, Meat",3.3/5.0 (329 reviews)
Fatty Bom Bom Sizzle @ 978 Toa Payoh North,"Blk 978 Toa Payoh North, Green Marks Buildings Singapore 319001 #02-01",Yes,No,No,Yes,"Western, American, Beverages, Dessert, Chicken, Seafood, Italian, Beef, Lamb, Meat",3.4/5.0 (232 reviews)
Warong Hjh Kamisah,"Blk 49 Sims Place, Sims Vista Market And Food Centre Singapore 380049 #01-13",No,Yes,Yes,No,"Indonesian, Malay, Chicken, Vegetarian, Lontong, Mee Rebus, Mee Soto, Nasi Sambal Goreng, Ayam Penyet, Ikan Penyet",4.7/5.0 (21 reviews)
